batter,fine_cluster,macro_class
666969,4,Power
683734,4,Power
680474,1,Balanced
663837,6,Balanced
592626,4,Power
671277,6,Balanced
671289,7,Balanced
543760,3,Balanced
682829,2,Power
592885,6,Balanced
605113,3,Balanced
660821,2,Power
664983,1,Balanced
647304,4,Power
680977,1,Balanced
642731,6,Balanced
663527,1,Balanced
641933,0,Power
502054,7,Balanced
641680,6,Balanced
663697,6,Balanced
683737,6,Balanced
608385,6,Balanced
650859,1,Balanced
680700,1,Balanced
624641,4,Power
686217,1,Balanced
573262,4,Power
683002,2,Power
680757,5,Contact
670042,2,Power
608701,4,Power
671739,0,Power
669911,4,Power
605137,3,Balanced
656775,4,Power
642350,4,Power
624424,6,Balanced
669357,4,Power
694384,5,Contact
690993,7,Balanced
677649,6,Balanced
671218,2,Power
650490,4,Power
683011,6,Balanced
666624,0,Power
676059,7,Balanced
593871,6,Balanced
553993,4,Power
643565,1,Balanced
672275,6,Balanced
686676,2,Power
656811,2,Power
681624,4,Power
665487,2,Power
663656,2,Power
687263,6,Balanced
656305,2,Power
642133,0,Power
664034,6,Balanced
669304,6,Balanced
592192,1,Balanced
571771,6,Balanced
643446,1,Balanced
624585,0,Power
681082,1,Balanced
673490,1,Balanced
691026,6,Balanced
666023,6,Balanced
656582,6,Balanced
457705,4,Power
596146,6,Balanced
676369,2,Power
641487,6,Balanced
518692,1,Balanced
630105,1,Balanced
672284,2,Power
623912,6,Balanced
682928,6,Balanced
669289,3,Balanced
502671,4,Power
673237,4,Power
608841,7,Balanced
656555,4,Power
608070,6,Balanced
650559,4,Power
621566,2,Power
656716,1,Balanced
519317,0,Power
666163,7,Balanced
607043,2,Power
607680,3,Balanced
665862,6,Balanced
666139,7,Balanced
621438,4,Power
645277,6,Balanced
643217,5,Contact
663647,7,Balanced
666160,0,Power
642708,6,Balanced
592669,0,Power
650333,5,Contact
678882,6,Balanced
657136,2,Power
668804,7,Balanced
676694,1,Balanced
660271,0,Power
664761,2,Power
623993,2,Power
643396,1,Balanced
663457,7,Balanced
676914,1,Balanced
457759,5,Contact
678662,6,Balanced
660688,1,Balanced
570482,1,Balanced
660670,0,Power
592663,4,Power
672356,2,Power
666181,4,Power
677587,1,Balanced
553869,7,Balanced
593428,6,Balanced
572191,2,Power
672761,1,Balanced
693304,6,Balanced
682985,2,Power
664728,6,Balanced
595777,6,Balanced
543877,1,Balanced
670623,3,Balanced
622534,6,Balanced
665833,0,Power
669004,4,Power
624413,2,Power
664023,7,Balanced
624428,1,Balanced
669394,2,Power
663624,2,Power
686668,6,Balanced
572233,2,Power
663993,2,Power
681297,7,Balanced
592696,6,Balanced
665839,6,Balanced
657041,7,Balanced
663728,4,Power
594807,4,Power
668227,6,Balanced
624431,1,Balanced
683146,4,Power
641857,7,Balanced
650402,6,Balanced
663368,6,Balanced
661388,2,Power
667670,2,Power
664913,2,Power
694671,7,Balanced
643289,3,Balanced
668715,6,Balanced
608324,6,Balanced
668709,2,Power
672386,6,Balanced
663886,6,Balanced
641598,6,Balanced
527038,5,Contact
467793,6,Balanced
572138,7,Balanced
571745,7,Balanced
680776,2,Power
672279,1,Balanced
663898,6,Balanced
606192,4,Power
606466,4,Power
657077,5,Contact
669257,1,Balanced
605141,1,Balanced
686823,1,Balanced
595909,1,Balanced
669016,2,Power
642715,0,Power
668930,5,Contact
606115,4,Power
600869,3,Balanced
686469,6,Balanced
663538,1,Balanced
681351,6,Balanced
694192,2,Power
672580,6,Balanced
608369,7,Balanced
646240,2,Power
664056,1,Balanced
679529,2,Power
687401,2,Power
696285,1,Balanced
666310,6,Balanced
666158,6,Balanced
669701,7,Balanced
453568,1,Balanced
691718,6,Balanced
621043,2,Power
666152,1,Balanced
514888,3,Balanced
621439,0,Power
542303,2,Power
677951,2,Power
669707,4,Power
609280,4,Power
665750,6,Balanced
596019,6,Balanced
677942,2,Power
666176,0,Power
622761,4,Power
664774,7,Balanced
672640,1,Balanced
680869,4,Power
641584,2,Power
650489,1,Balanced
672515,7,Balanced
666182,6,Balanced
665828,1,Balanced
668939,1,Balanced
621493,6,Balanced
660707,2,Power
592518,0,Power
679032,6,Balanced
607208,6,Balanced
665161,4,Power
547180,2,Power
671056,6,Balanced
643376,1,Balanced
665926,1,Balanced
502110,4,Power
571448,3,Balanced
624503,6,Balanced
682998,2,Power
677594,0,Power
664238,2,Power
670541,0,Power
668942,1,Balanced
657557,7,Balanced
681807,4,Power
663586,2,Power
647351,6,Balanced
666971,6,Balanced
662139,4,Power
516782,6,Balanced
669222,3,Balanced
673548,6,Balanced
665804,7,Balanced
680777,6,Balanced
641313,6,Balanced
456781,1,Balanced
641343,2,Power
596142,4,Power
663616,2,Power
670032,5,Contact
676475,6,Balanced
657757,2,Power
592206,4,Power
621020,4,Power
592450,0,Power
676356,4,Power
669261,2,Power
641355,3,Balanced
521692,4,Power
665489,0,Power
658668,6,Balanced
669127,2,Power
701538,4,Power
676609,1,Balanced
677800,2,Power
543807,6,Balanced
666135,4,Power
656941,0,Power
519203,5,Contact
665742,2,Power
