batter,fine_cluster,macro_class
592885,0,Balanced
624641,2,Power
683734,0,Balanced
680474,1,Contact
660821,3,Balanced
671289,7,Balanced
664983,1,Contact
641680,0,Balanced
680700,1,Contact
647304,2,Power
671277,0,Balanced
502054,7,Balanced
642731,0,Balanced
605113,4,Balanced
543760,4,Balanced
683737,0,Balanced
592626,2,Power
682829,3,Balanced
608385,0,Balanced
663697,0,Balanced
641933,6,Power
663527,1,Contact
666969,2,Power
686217,1,Contact
680977,1,Contact
650859,1,Contact
663837,0,Balanced
671218,3,Balanced
671739,2,Power
694384,5,Contact
676059,7,Balanced
642350,2,Power
670042,3,Balanced
573262,2,Power
683002,3,Balanced
683011,0,Balanced
690993,7,Balanced
669357,2,Power
650490,3,Balanced
593871,0,Balanced
608701,2,Power
672275,0,Balanced
643565,1,Contact
686676,3,Balanced
605137,4,Balanced
669911,2,Power
624424,7,Balanced
666624,6,Power
553993,2,Power
680757,5,Contact
656775,2,Power
677649,0,Balanced
666023,0,Balanced
666139,7,Balanced
607043,3,Balanced
663647,7,Balanced
608841,7,Balanced
669304,0,Balanced
571771,0,Balanced
645277,0,Balanced
621566,3,Balanced
676369,3,Balanced
592192,1,Contact
650559,2,Power
665487,3,Balanced
663656,3,Balanced
519317,6,Power
624585,6,Power
457705,2,Power
672284,3,Balanced
643446,1,Contact
665862,0,Balanced
643217,1,Contact
642133,2,Power
673237,2,Power
666160,2,Power
596146,0,Balanced
682928,0,Balanced
666163,7,Balanced
673490,1,Contact
608070,0,Balanced
681082,1,Contact
669289,4,Balanced
621438,2,Power
656716,1,Contact
656555,2,Power
656582,0,Balanced
623912,0,Balanced
630105,1,Contact
681624,2,Power
656305,3,Balanced
518692,1,Contact
664034,0,Balanced
687263,0,Balanced
502671,2,Power
641487,0,Balanced
656811,3,Balanced
607680,4,Balanced
691026,0,Balanced
664761,3,Balanced
676914,1,Contact
457759,5,Contact
670623,4,Balanced
660271,6,Power
693304,0,Balanced
650333,5,Contact
595777,0,Balanced
553869,7,Balanced
672356,3,Balanced
660670,6,Power
642708,0,Balanced
666181,2,Power
623993,3,Balanced
664728,0,Balanced
678662,0,Balanced
622534,0,Balanced
570482,1,Contact
660688,1,Contact
677587,1,Contact
672761,1,Contact
572191,3,Balanced
676694,1,Contact
668804,7,Balanced
643396,1,Contact
593428,0,Balanced
663457,7,Balanced
657136,3,Balanced
543877,1,Contact
678882,0,Balanced
682985,3,Balanced
592663,2,Power
592669,6,Power
667670,3,Balanced
624431,1,Contact
641857,7,Balanced
686823,1,Contact
668709,3,Balanced
669004,2,Power
668227,0,Balanced
663993,3,Balanced
672279,1,Contact
669257,1,Contact
657077,5,Contact
657041,7,Balanced
650402,0,Balanced
669394,3,Balanced
608324,0,Balanced
594807,2,Power
665833,6,Power
467793,0,Balanced
663886,0,Balanced
683146,3,Balanced
664913,3,Balanced
672386,0,Balanced
643289,4,Balanced
592696,0,Balanced
624413,3,Balanced
527038,5,Contact
572233,3,Balanced
665839,0,Balanced
664023,7,Balanced
605141,1,Contact
606466,2,Power
572138,7,Balanced
686668,0,Balanced
661388,3,Balanced
606192,2,Power
571745,7,Balanced
681297,7,Balanced
663624,3,Balanced
663728,2,Power
663898,0,Balanced
641598,0,Balanced
663368,0,Balanced
694671,7,Balanced
624428,1,Contact
680776,3,Balanced
668715,0,Balanced
663538,1,Contact
665750,0,Balanced
691718,0,Balanced
666152,1,Contact
666176,6,Power
664056,1,Contact
595909,1,Contact
621439,6,Power
681351,0,Balanced
669707,2,Power
672580,0,Balanced
686469,0,Balanced
677951,3,Balanced
542303,3,Balanced
666310,0,Balanced
669016,3,Balanced
621043,3,Balanced
608369,7,Balanced
622761,2,Power
669701,7,Balanced
646240,3,Balanced
668930,5,Contact
600869,4,Balanced
642715,2,Power
609280,2,Power
666158,0,Balanced
694192,3,Balanced
687401,3,Balanced
677942,3,Balanced
453568,1,Contact
514888,4,Balanced
596019,0,Balanced
679529,3,Balanced
606115,2,Power
696285,1,Contact
621493,0,Balanced
665828,1,Contact
547180,3,Balanced
592518,6,Power
665161,2,Power
681807,2,Power
666971,0,Balanced
664238,3,Balanced
668939,1,Contact
641584,3,Balanced
660707,3,Balanced
571448,4,Balanced
670541,6,Power
669222,4,Balanced
666182,0,Balanced
607208,0,Balanced
624503,0,Balanced
672640,1,Contact
657557,7,Balanced
668942,1,Contact
641313,0,Balanced
673548,0,Balanced
665804,7,Balanced
677594,6,Power
647351,0,Balanced
671056,0,Balanced
682998,3,Balanced
680869,2,Power
664774,7,Balanced
650489,1,Contact
662139,2,Power
680777,0,Balanced
672515,7,Balanced
643376,1,Contact
663586,3,Balanced
665926,1,Contact
502110,2,Power
516782,7,Balanced
679032,0,Balanced
656941,6,Power
657757,3,Balanced
701538,2,Power
641343,3,Balanced
665742,3,Balanced
519203,5,Contact
665489,6,Power
677800,3,Balanced
592206,2,Power
663616,3,Balanced
676609,1,Contact
658668,0,Balanced
621020,0,Balanced
669127,3,Balanced
592450,6,Power
456781,1,Contact
670032,5,Contact
676356,2,Power
543807,0,Balanced
641355,4,Balanced
669261,3,Balanced
666135,2,Power
676475,0,Balanced
596142,3,Balanced
521692,2,Power
